Date,Open,High,Low,Close,Adj Close,Volume
1/2/2020,9039.459961,9093.429688,9010.889648,9092.19043,9092.19043,2848370000
1/3/2020,8976.429688,9065.759766,8976.429688,9020.769531,9020.769531,2567400000
1/6/2020,8943.5,9072.410156,8943.5,9071.469727,9071.469727,2788120000
1/7/2020,9076.639648,9091.929688,9042.549805,9068.580078,9068.580078,2352850000
1/8/2020,9068.030273,9168.889648,9059.379883,9129.240234,9129.240234,2464090000
1/9/2020,9202.269531,9215.950195,9158.5,9203.429688,9203.429688,2534700000
1/10/2020,9232.950195,9235.200195,9164.660156,9178.860352,9178.860352,2378990000
1/13/2020,9213.719727,9274.490234,9193.05957,9273.929688,9273.929688,2530270000
1/14/2020,9270.610352,9298.330078,9226.490234,9251.330078,9251.330078,2542170000
1/15/2020,9253.759766,9298.820313,9231.139648,9258.700195,9258.700195,2435650000
1/16/2020,9313.450195,9357.919922,9301.320313,9357.129883,9357.129883,2301400000
1/17/2020,9392.370117,9393.480469,9346.80957,9388.94043,9388.94043,2522670000
1/21/2020,9361.070313,9397.580078,9350.200195,9370.80957,9370.80957,2684540000
1/22/2020,9413.610352,9439.290039,9375.129883,9383.769531,9383.769531,2449390000
1/23/2020,9377.719727,9409.200195,9334.129883,9402.480469,9402.480469,2460050000
1/24/2020,9446.209961,9451.429688,9273.230469,9314.910156,9314.910156,2611710000
1/27/2020,9092.459961,9185.450195,9088.040039,9139.30957,9139.30957,2583330000
1/28/2020,9201.820313,9288.870117,9182.330078,9269.679688,9269.679688,2157830000
1/29/2020,9318.259766,9329.120117,9249.040039,9275.160156,9275.160156,2223480000
1/30/2020,9211.150391,9303,9185.179688,9298.929688,9298.929688,2333500000
1/31/2020,9324.330078,9324.799805,9123.219727,9150.94043,9150.94043,2685840000
2/3/2020,9190.719727,9299.849609,9188.549805,9273.400391,9273.400391,2420510000
2/4/2020,9398.389648,9485.379883,9374.049805,9467.969727,9467.969727,2445420000
2/5/2020,9574.099609,9574.94043,9454.929688,9508.679688,9508.679688,2462470000
2/6/2020,9540.980469,9575.660156,9505.679688,9572.150391,9572.150391,2267300000
2/7/2020,9526.639648,9570.089844,9496.530273,9520.509766,9520.509766,2238670000
2/10/2020,9493.629883,9628.660156,9493.629883,9628.389648,9628.389648,2179310000
2/11/2020,9680.889648,9714.740234,9617.209961,9638.94043,9638.94043,2423670000
2/12/2020,9688.599609,9728.769531,9666.69043,9725.959961,9725.959961,2355000000
2/13/2020,9657.040039,9748.320313,9650.019531,9711.969727,9711.969727,2239270000
2/14/2020,9728.900391,9746.360352,9693.049805,9731.179688,9731.179688,2222240000
2/18/2020,9679.040039,9747.679688,9675.799805,9732.740234,9732.740234,2273460000
2/19/2020,9782.80957,9838.370117,9777.099609,9817.179688,9817.179688,2462530000
2/20/2020,9799.200195,9820.860352,9636.94043,9750.969727,9750.969727,2735610000
2/21/2020,9708.009766,9715.950195,9542.330078,9576.589844,9576.589844,2743010000
2/24/2020,9188.44043,9322.879883,9166.009766,9221.280273,9221.280273,3177000000
2/25/2020,9301.200195,9315.259766,8940.490234,8965.610352,8965.610352,3583400000
2/26/2020,9011.549805,9148.320313,8927.799805,8980.780273,8980.780273,3567830000
2/27/2020,8744.030273,8904.110352,8562.049805,8566.480469,8566.480469,390750000
2/28/2020,8269.740234,8591.820313,8264.160156,8567.370117,8567.370117,5301170000
3/2/2020,8667.139648,8952.80957,8543.349609,8952.169922,8952.169922,4232760000
3/3/2020,8965.099609,9070.320313,8602.889648,8684.089844,8684.089844,4336700000
3/4/2020,8834.099609,9019.959961,8757.660156,9018.089844,9018.089844,3602870000
3/5/2020,8790.089844,8921.080078,8677.389648,8738.589844,8738.589844,3748090000
3/6/2020,8469.019531,8612.360352,8375.129883,8575.620117,8575.620117,4279850000
3/9/2020,7957.930176,8243.30957,7943.160156,7950.680176,7950.680176,4530350000
3/10/2020,8219.759766,8347.400391,7930.430176,8344.25,8344.25,4431930000
3/11/2020,8136.25,8181.359863,7850.950195,7952.049805,7952.049805,4273890000
3/12/2020,7398.580078,7712.330078,7194.669922,7201.799805,7201.799805,5066530000
3/13/2020,7610.390137,7875.930176,7219.089844,7874.879883,7874.879883,4685890000
3/16/2020,7392.72998,7422.200195,6882.859863,6904.589844,6904.589844,4594360000
3/17/2020,7072,7406.22998,6828.910156,7334.779785,7334.779785,4900000000
3/18/2020,6902.319824,7182.830078,6686.359863,6989.839844,6989.839844,4890820000
3/19/2020,6996.450195,7341.379883,6858.379883,7150.580078,7150.580078,4762170000
3/20/2020,7248.069824,7354.439941,6854.669922,6879.52002,6879.52002,5239940000
3/23/2020,6847.279785,6984.939941,6631.419922,6860.669922,6860.669922,4330610000
3/24/2020,7196.149902,7418.370117,7169.859863,7417.859863,7417.859863,4417380000
3/25/2020,7421.359863,7671.209961,7276.399902,7384.299805,7384.299805,4666440000
3/26/2020,7462.209961,7809.830078,7462.209961,7797.540039,7797.540039,3999850000
3/27/2020,7554.25,7716.240234,7491.140137,7502.379883,7502.379883,3977010000
3/30/2020,7583.459961,7784.350098,7539.970215,7774.149902,7774.149902,3846900000
3/31/2020,7740.060059,7880.310059,7642.859863,7700.100098,7700.100098,4059700000
4/1/2020,7459.5,7566.370117,7301.97998,7360.580078,7360.580078,3685510000
4/2/2020,7317.450195,7501.700195,7307.950195,7487.310059,7487.310059,3608190000
4/3/2020,7477.27002,7518.720215,7288.109863,7373.080078,7373.080078,3279100000
4/6/2020,7660.169922,7938.330078,7617.790039,7913.240234,7913.240234,3849100000
4/7/2020,8129.990234,8146.430176,7881.220215,7887.259766,7887.259766,4069410000
4/8/2020,7975.720215,8114.430176,7901.939941,8090.899902,8090.899902,3470730000
4/9/2020,8169.009766,8227.910156,8072.319824,8153.580078,8153.580078,4123670000
4/13/2020,8127.689941,8200.44043,8035.950195,8192.419922,8192.419922,3146860000
4/14/2020,8353.209961,8531.110352,8338.080078,8515.740234,8515.740234,3732820000
4/15/2020,8355.959961,8464.660156,8308.790039,8393.179688,8393.179688,3333750000
4/16/2020,8479.110352,8560.160156,8393.269531,8532.360352,8532.360352,3995870000
4/17/2020,8667.480469,8670.299805,8531.69043,8650.139648,8650.139648,4335020000
4/20/2020,8553.379883,8684.910156,8553.379883,8560.730469,8560.730469,3796950000
4/21/2020,8460.69043,8480.290039,8215.69043,8263.230469,8263.230469,3756290000
4/22/2020,8434.549805,8537.30957,8404.540039,8495.379883,8495.379883,3025060000
4/23/2020,8528.839844,8635.230469,8475.200195,8494.75,8494.75,3734720000
4/24/2020,8530.080078,8642.929688,8464.419922,8634.519531,8634.519531,3673170000
4/27/2020,8717.980469,8754.570313,8697.370117,8730.160156,8730.160156,3678460000
4/28/2020,8825.69043,8830.570313,8600.700195,8607.730469,8607.730469,3707540000
4/29/2020,8802.700195,8957.269531,8765.009766,8914.709961,8914.709961,4378540000
4/30/2020,8911.019531,8926.110352,8825.830078,8889.549805,8889.549805,4316380000
5/1/2020,8681.290039,8754.459961,8566.839844,8604.950195,8604.950195,3722520000
5/4/2020,8555.320313,8715.820313,8537.830078,8710.709961,8710.709961,3422150000
5/5/2020,8809.660156,8909.959961,8781.30957,8809.120117,8809.120117,3913360000
5/6/2020,8874.700195,8933.25,8819.370117,8854.389648,8854.389648,3620030000
5/7/2020,8973.780273,9015.990234,8932.860352,8979.660156,8979.660156,3762070000
5/8/2020,9056.889648,9125.980469,9018.209961,9121.320313,9121.320313,3777340000
5/11/2020,9054.910156,9241.919922,9053.169922,9192.339844,9192.339844,3898690000
5/12/2020,9225.150391,9250.959961,9000.070313,9002.549805,9002.549805,4315070000
5/13/2020,9006.049805,9074.160156,8752.679688,8863.169922,8863.169922,4244110000
5/14/2020,8788.040039,8945.709961,8705.25,8943.719727,8943.719727,3945080000
5/15/2020,8839.990234,9018.400391,8821.379883,9014.55957,9014.55957,4221500000
5/18/2020,9177.150391,9267.219727,9154.349609,9234.830078,9234.830078,4318310000
5/19/2020,9227.459961,9317.25,9183.25,9185.099609,9185.099609,4144770000
5/20/2020,9305.620117,9392.820313,9304.200195,9375.780273,9375.780273,4292470000
5/21/2020,9375.19043,9405.25,9254.849609,9284.879883,9284.879883,3725950000
5/22/2020,9278.549805,9328.280273,9239.410156,9324.589844,9324.589844,3641830000
5/26/2020,9501.209961,9501.209961,9333.160156,9340.219727,9340.219727,4432310000
5/27/2020,9346.120117,9414.620117,9144.280273,9412.360352,9412.360352,4462450000
5/28/2020,9392.990234,9523.639648,9345.280273,9368.990234,9368.990234,4064220000
5/29/2020,9382.349609,9505.549805,9324.730469,9489.870117,9489.870117,423570000
6/1/2020,9471.419922,9571.280273,9462.320313,9552.049805,9552.049805,3824770000
6/2/2020,9566.530273,9611.219727,9472.080078,9608.379883,9608.379883,3962460000
6/3/2020,9651.860352,9707.780273,9627.169922,9682.910156,9682.910156,4638380000
6/4/2020,9649.650391,9716.139648,9560.410156,9615.80957,9615.80957,6074320000
6/5/2020,9703.540039,9845.69043,9685.349609,9814.080078,9814.080078,6572850000
6/8/2020,9823.44043,9927.129883,9780.610352,9924.75,9924.75,6143120000
6/9/2020,9867.19043,10002.5,9863.269531,9953.75,9953.75,5281860000
6/10/2020,10012.32031,10086.88965,9962.580078,10020.34961,10020.34961,5128400000
6/11/2020,9791.240234,9868.080078,9491.30957,9492.730469,9492.730469,5271000000
6/12/2020,9715.870117,9768.639648,9413.620117,9588.80957,9588.80957,4366190000
6/15/2020,9426.900391,9756.070313,9403,9726.019531,9726.019531,4440650000
6/16/2020,9949.780273,9963.629883,9748.379883,9895.870117,9895.870117,4639860000
6/17/2020,9943.30957,9991.209961,9891.80957,9910.530273,9910.530273,4249680000
6/18/2020,9892.480469,9959.200195,9885.660156,9943.049805,9943.049805,4294740000
6/19/2020,10042.12988,10053.91016,9872.94043,9946.120117,9946.120117,6068130000
6/22/2020,9945.490234,10059.61035,9916.599609,10056.48047,10056.48047,4468000000
6/23/2020,10130.83008,10221.84961,10112.44043,10131.37012,10131.37012,5712450000
6/24/2020,10092.91992,10137.5,9842.219727,9909.169922,9909.169922,5549440000
6/25/2020,9899.360352,10023.28027,9810.469727,10017,10017,4709620000
6/26/2020,9995.120117,10000.66992,9749.070313,9757.219727,9757.219727,7279230000
6/29/2020,9771.719727,9877.339844,9663.610352,9874.150391,9874.150391,4306120000
6/30/2020,9875.290039,10085.58984,9863.669922,10058.76953,10058.76953,4474000000
7/1/2020,10063.66992,10197.19043,10048.04004,10154.62988,10154.62988,4595970000
